animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,11,1767639220.118,1767639234.788,169738,172378,2641
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,12,1767639286.062,1767639298.147,181608,183782,2175
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,13,1767639349.098,1767639369.239,192954,196579,3626
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,14,1767639416.568,1767639485.29,205099,217468,12370
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,15,1767639530.393,1767639651.835,225587,247445,21859
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,16,1767639703.944,1767639739.903,256826,263298,6473
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,17,1767639793.688,1767639850.171,272980,283146,10167
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,18,1767640169.366,1767640253.26,340601,355701,15101
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,19,1767640299.273,1767640315.122,363984,366836,2853
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,20,1767640393.327,1767640468.97,380914,394528,13615
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,21,1767640532.043,1767640556.115,405882,410214,4333
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,22,1767640600.689,1767640624.145,418239,422460,4222
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,23,1767640668.516,1767640683.912,430447,433218,2772
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,24,1767640728.4,1767640785.39,441226,451484,10259
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,25,1767640830.138,1767641010.981,459539,492090,32552
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,26,1767641062.644,1767641134.753,501390,514368,12979
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,27,1767641187.108,1767641280.004,523793,540513,16721
